2017-07-03 22:35:25,794 - root - INFO - ############################### START ###############################
2017-07-03 22:35:31,722 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 0.939000129699707 seconds
2017-07-03 22:35:32,094 - root - INFO - SUCCESS    Clear and type element: <id->username> content: , Spend 0.3712000846862793 seconds
2017-07-03 22:35:32,471 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 12345678, Spend 0.3763999938964844 seconds
2017-07-03 22:35:32,761 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.2894001007080078 seconds
2017-07-03 22:35:32,995 - root - INFO - SUCCESS    positioned to element: <css selector->div[class = 'in_r']> , Spend 0.23199987411499023 seconds
2017-07-03 22:35:32,996 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-03 22:35:33,681 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 0.24099993705749512 seconds
2017-07-03 22:35:33,936 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.25320005416870117 seconds
2017-07-03 22:35:34,179 - root - INFO - SUCCESS    Clear and type element: <id->password> content: , Spend 0.2426002025604248 seconds
2017-07-03 22:35:34,409 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.22879981994628906 seconds
2017-07-03 22:35:34,547 - root - INFO - SUCCESS    positioned to element: <xpath->//div[2]/div[2]/div/div[1]/form/div[2]/div/span[1]> , Spend 0.13579988479614258 seconds
2017-07-03 22:35:34,548 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-03 22:35:35,253 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 0.2981998920440674 seconds
2017-07-03 22:35:35,613 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.35879993438720703 seconds
