2017-07-10 20:27:49,476 - root - INFO - ############################### START ###############################
2017-07-10 20:27:55,032 - root - INFO - SUCCESS    Set browser window maximized, Spend 1.311999797821045 seconds
2017-07-10 20:27:57,150 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 2.115999937057495 seconds
2017-07-10 20:27:57,637 - root - INFO - SUCCESS    Clear and type element: <id->username> content: , Spend 0.4830000400543213 seconds
2017-07-10 20:27:58,031 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 12345678, Spend 0.39299988746643066 seconds
2017-07-10 20:27:58,381 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.34799981117248535 seconds
2017-07-10 20:27:58,555 - root - INFO - SUCCESS    positioned to element: <css selector->div[class = 'in_r']> , Spend 0.17100000381469727 seconds
2017-07-10 20:27:58,558 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:27:59,106 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a1_1.jpg, Spend 0.5460000038146973 seconds
2017-07-10 20:27:59,746 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 0.6369998455047607 seconds
2017-07-10 20:28:00,258 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.5109999179840088 seconds
2017-07-10 20:28:00,564 - root - INFO - SUCCESS    Clear and type element: <id->password> content: , Spend 0.3039999008178711 seconds
2017-07-10 20:28:00,797 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.23200011253356934 seconds
2017-07-10 20:28:00,932 - root - INFO - SUCCESS    positioned to element: <xpath->//div[2]/div[2]/div/div[1]/form/div[2]/div/span[1]> , Spend 0.13300013542175293 seconds
2017-07-10 20:28:00,933 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:01,357 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a1_2.jpg, Spend 0.4219999313354492 seconds
2017-07-10 20:28:01,828 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/login, Spend 0.46899986267089844 seconds
2017-07-10 20:28:02,363 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.5320000648498535 seconds
2017-07-10 20:28:02,829 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 12345678, Spend 0.46399998664855957 seconds
2017-07-10 20:28:03,184 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.3529999256134033 seconds
2017-07-10 20:28:06,047 - root - INFO - SUCCESS    positioned to element: <xpath->//div[1]/div[1]/div[1]/div/div[1]/div[1]/span> , Spend 2.861999988555908 seconds
2017-07-10 20:28:06,049 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:06,777 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a1_3.jpg, Spend 0.7279999256134033 seconds
2017-07-10 20:28:09,820 - root - INFO - ###############################  End  ###############################
2017-07-10 20:28:09,822 - root - INFO - ############################### START ###############################
2017-07-10 20:28:15,000 - root - INFO - SUCCESS    Set browser window maximized, Spend 1.312000036239624 seconds
2017-07-10 20:28:16,286 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 1.2840001583099365 seconds
2017-07-10 20:28:16,836 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.5480000972747803 seconds
2017-07-10 20:28:17,213 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 12345678, Spend 0.375 seconds
2017-07-10 20:28:17,675 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'btn_com btn_blue login_btn_submit sy_in']>, Spend 0.4609999656677246 seconds
2017-07-10 20:28:19,730 - root - INFO - SUCCESS    Clear and type element: <id->name> content: 张, Spend 2.052999973297119 seconds
2017-07-10 20:28:20,116 - root - INFO - SUCCESS    Clear and type element: <id->email> content: 1392364471@qq.com, Spend 0.38499999046325684 seconds
2017-07-10 20:28:20,351 - root - INFO - SUCCESS    Clicked element: <css selector->input[value = '女']>, Spend 0.2330000400543213 seconds
2017-07-10 20:28:20,714 - root - INFO - SUCCESS    Clear and type element: <css selector->input[name = 'address']> content: 浙江省杭州市滨江区网商路669号阿里巴巴总部, Spend 0.36100006103515625 seconds
2017-07-10 20:28:20,974 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.2590000629425049 seconds
2017-07-10 20:28:21,096 - root - INFO - SUCCESS    positioned to element: <xpath->//div[3]/div/div/form/div/div/div[1]/span> , Spend 0.12100005149841309 seconds
2017-07-10 20:28:21,097 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:21,386 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_1.jpg, Spend 0.28799986839294434 seconds
2017-07-10 20:28:22,435 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 1.0469999313354492 seconds
2017-07-10 20:28:22,734 - root - INFO - SUCCESS    Clear and type element: <id->name> content: 张张萨芬举案说法是是是, Spend 0.2980000972747803 seconds
2017-07-10 20:28:23,011 - root - INFO - SUCCESS    Clear and type element: <id->email> content: 1392364471@qq.com, Spend 0.27699995040893555 seconds
2017-07-10 20:28:23,156 - root - INFO - SUCCESS    Clicked element: <css selector->input[value = '女']>, Spend 0.14399981498718262 seconds
2017-07-10 20:28:23,744 - root - INFO - SUCCESS    Clear and type element: <css selector->input[name = 'address']> content: 浙江省杭州市滨江区网商路669号阿里巴巴总部, Spend 0.5859999656677246 seconds
2017-07-10 20:28:24,143 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.3970000743865967 seconds
2017-07-10 20:28:24,307 - root - INFO - SUCCESS    positioned to element: <xpath->//div[3]/div/div/form/div/div/div[1]/span> , Spend 0.16299986839294434 seconds
2017-07-10 20:28:24,309 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:24,712 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_2.jpg, Spend 0.4010000228881836 seconds
2017-07-10 20:28:25,283 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.5690000057220459 seconds
2017-07-10 20:28:25,552 - root - INFO - SUCCESS    Clear and type element: <id->name> content: 小灰灰小灰灰小灰灰小, Spend 0.2690000534057617 seconds
2017-07-10 20:28:25,876 - root - INFO - SUCCESS    Clear and type element: <id->email> content: 1392364471, Spend 0.32200002670288086 seconds
2017-07-10 20:28:26,068 - root - INFO - SUCCESS    Clicked element: <css selector->input[value = '女']>, Spend 0.19099998474121094 seconds
2017-07-10 20:28:26,424 - root - INFO - SUCCESS    Clear and type element: <css selector->input[name = 'address']> content: 浙江省杭州市滨江区网商路669号阿里巴巴总部, Spend 0.3549997806549072 seconds
2017-07-10 20:28:26,590 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.16499996185302734 seconds
2017-07-10 20:28:26,697 - root - INFO - SUCCESS    positioned to element: <xpath->//div[3]/div/div/form/div/div/div[4]/span> , Spend 0.10599994659423828 seconds
2017-07-10 20:28:26,699 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:27,036 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_3.jpg, Spend 0.3360002040863037 seconds
2017-07-10 20:28:28,032 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.9939999580383301 seconds
2017-07-10 20:28:28,691 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[1]/input[1]>, Spend 0.6570000648498535 seconds
2017-07-10 20:28:28,997 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[1]/ul/li[1]>, Spend 0.30500006675720215 seconds
2017-07-10 20:28:29,187 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.18799996376037598 seconds
2017-07-10 20:28:29,224 - root - INFO - SUCCESS    positioned to element: <xpath->//form/div/div/div[5]/div/span[1]/input[1]> , Spend 0.03699994087219238 seconds
2017-07-10 20:28:29,225 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:29,495 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_4.jpg, Spend 0.26999998092651367 seconds
2017-07-10 20:28:30,353 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.8559999465942383 seconds
2017-07-10 20:28:30,570 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[2]/input[1]>, Spend 0.21600008010864258 seconds
2017-07-10 20:28:30,799 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[2]/ul/li[1]>, Spend 0.22900009155273438 seconds
2017-07-10 20:28:31,025 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.22499990463256836 seconds
2017-07-10 20:28:31,084 - root - INFO - SUCCESS    positioned to element: <xpath->//form/div/div/div[5]/div/span[2]/input[1]> , Spend 0.056999921798706055 seconds
2017-07-10 20:28:31,086 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:31,278 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_5.jpg, Spend 0.19099998474121094 seconds
2017-07-10 20:28:31,820 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.5390000343322754 seconds
2017-07-10 20:28:32,028 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[3]/input[1]>, Spend 0.20600008964538574 seconds
2017-07-10 20:28:32,254 - root - INFO - SUCCESS    Clicked element: <xpath->//form/div/div/div[5]/div/span[3]/ul/li[1]>, Spend 0.22500014305114746 seconds
2017-07-10 20:28:32,434 - root - INFO - SUCCESS    Clicked element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.18000006675720215 seconds
2017-07-10 20:28:32,472 - root - INFO - SUCCESS    positioned to element: <xpath->//form/div/div/div[5]/div/span[3]/input[1]> , Spend 0.03699994087219238 seconds
2017-07-10 20:28:32,473 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:32,728 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_6.jpg, Spend 0.2539999485015869 seconds
2017-07-10 20:28:33,351 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.6210000514984131 seconds
2017-07-10 20:28:33,637 - root - INFO - SUCCESS    Clear and type element: <id->name> content: 小灰灰, Spend 0.2849998474121094 seconds
2017-07-10 20:28:33,979 - root - INFO - SUCCESS    Clear and type element: <id->email> content: 1392364471@qq.com, Spend 0.3409998416900635 seconds
2017-07-10 20:28:34,186 - root - INFO - SUCCESS    Clicked element: <css selector->input[value = '女']>, Spend 0.2070000171661377 seconds
2017-07-10 20:28:34,533 - root - INFO - SUCCESS    Clear and type element: <css selector->input[name = 'address']> content: 浙江省杭州市滨江区网商路669号阿里巴巴总部, Spend 0.34599995613098145 seconds
2017-07-10 20:28:34,779 - root - INFO - SUCCESS    Clicked element: <css selector->span[class = 'edit_pic cropper']>, Spend 0.24300003051757812 seconds
2017-07-10 20:28:36,038 - root - INFO - SUCCESS    Clicked element: <css selector->label[class = 'btn_select_file']>, Spend 0.2569999694824219 seconds
2017-07-10 20:28:38,962 - root - INFO - SUCCESS    Clicked element: <css selector->div[class = 'submit btn_com btn_blue cropper_upload w140']>, Spend 0.2869999408721924 seconds
2017-07-10 20:28:39,166 - root - INFO - 【FAIL】    Unable to click element: <css selector->input[class = 'per_sure btn_submit']>, Spend 0.20199990272521973 seconds
2017-07-10 20:28:40,029 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.6099998950958252 seconds
2017-07-10 20:28:40,270 - root - INFO - SUCCESS    Clicked element: <class name->sc_nick>, Spend 0.24000000953674316 seconds
2017-07-10 20:28:40,484 - root - INFO - SUCCESS    Clicked element: <id->ss_cancel>, Spend 0.21399998664855957 seconds
2017-07-10 20:28:40,615 - root - INFO - SUCCESS    positioned to element: <xpath->html/body/div[2]/div/div/div[2]/p[1]/span[2]> , Spend 0.13000011444091797 seconds
2017-07-10 20:28:40,617 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:41,126 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_8.jpg, Spend 0.5069999694824219 seconds
2017-07-10 20:28:44,931 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 3.805000066757202 seconds
2017-07-10 20:28:45,884 - root - INFO - SUCCESS    Clicked element: <class name->alter_mobile>, Spend 0.9520001411437988 seconds
2017-07-10 20:28:46,033 - root - INFO - SUCCESS    positioned to element: <xpath->html/body/div[3]/div/div/div[1]/h6> , Spend 0.14700007438659668 seconds
2017-07-10 20:28:46,034 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:46,799 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_9.jpg, Spend 0.7629997730255127 seconds
2017-07-10 20:28:47,717 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.9170000553131104 seconds
2017-07-10 20:28:47,881 - root - INFO - SUCCESS    Clicked element: <xpath->html/body/div[3]/div/div/div/span>, Spend 0.16300010681152344 seconds
2017-07-10 20:28:49,038 - root - INFO - SUCCESS    positioned to element: <xpath->html/body/div[5]/div/div/div/div[2]> , Spend 0.1549999713897705 seconds
2017-07-10 20:28:49,039 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:49,696 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_A.jpg, Spend 0.6540000438690186 seconds
2017-07-10 20:28:50,504 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/info, Spend 0.8059999942779541 seconds
2017-07-10 20:28:50,690 - root - INFO - SUCCESS    Clicked element: <xpath->html/body/div[3]/div/div/div/span>, Spend 0.18499994277954102 seconds
2017-07-10 20:28:51,937 - root - INFO - SUCCESS    Clicked element: <xpath->html/body/div[5]/div/a>, Spend 0.24599981307983398 seconds
2017-07-10 20:28:52,077 - root - INFO - SUCCESS    positioned to element: <xpath->html/body/div[3]/div/div/div/h6> , Spend 0.1399998664855957 seconds
2017-07-10 20:28:52,078 - root - INFO - SUCCESS    say with certainty: True == True, Spend 0.0 seconds
2017-07-10 20:28:52,592 - root - INFO - SUCCESS    Get the current window screenshot,path: F:\fengsulian-2\report\image\a2_B.jpg, Spend 0.5120000839233398 seconds
2017-07-10 20:28:55,669 - root - INFO - ###############################  End  ###############################
2017-07-10 20:28:55,671 - root - INFO - ############################### START ###############################
2017-07-10 20:29:00,750 - root - INFO - SUCCESS    Set browser window maximized, Spend 1.2250001430511475 seconds
2017-07-10 20:29:02,160 - root - INFO - SUCCESS    Navigated to http://www.fengsulian.com/user/fund/trader/password, Spend 1.4089999198913574 seconds
2017-07-10 20:29:02,597 - root - INFO - SUCCESS    Clear and type element: <id->username> content: 15868147450, Spend 0.434999942779541 seconds
2017-07-10 20:29:02,937 - root - INFO - SUCCESS    Clear and type element: <id->password> content: 12345678, Spend 0.3400001525878906 seconds
